state,zipcode,hash_codes,closed_won_percentage
AZ,35801,0061K00000jVAqt,0.0
NC,32610,0061K00000jV9BO,0.0
OH,29169,0061K00000jUhha,0.0
IA,92324,0061K00000jTF5J,0.0
IL,3598,"0061K00000jTEIe, 0061K00000jVZNI",0.0
NC,39216,"0061K00000iqIVh, 0061K00000jVulK",0.0
FL,33759,0061K00000iq8LG,0.0
SC,98405,"0061K00000ioytq, 0061K00000k0SV9",0.0
NY,85016,"0061K00000hxpAG, 0061K00000k0BLF",0.0
RI,27710,0061K00000hxAip,0.0
AL,44195,0061K00000hwYz2,0.0
NJ,51101,0061K00000huuIx,0.0
AZ,60611,0061K00000huJjk,100.0
TX,27835,0061K00000h9QBQ,0.0
GA,34102,0061K00000h9Bgm,0.0
KY,29425,0061K00000h93ft,0.0
GA,10701,0061K00000h7yvD,0.0
MO,2908,0061K00000h7yuK,100.0
VA,36617,0061K00000h6yfD,0.0
AZ,8837,0061K00000h6jwx,0.0
TX,85008,0061K00000fvP5f,0.0
CO,75246,0061K00000ftCbz,0.0
CA,30720,0061K00000fNEfL,0.0
NY,41017,"0061K00000fL98L, 0061K00000lQnLj",0.0
NY,30303,0061K00000lTVij,0.0
SC,64108,0061K00000lTTWt,0.0
MD,22903,0061K00000lTT2E,0.0
IA,86409,0061K00000lTSii,0.0
KY,77954,0061K00000lTSeW,0.0
GA,81611,0061K00000lTOLQ,0.0
NJ,94533,0061K00000lTLvi,0.0
WA,11570,0061K00000lTCSu,0.0
OH,10940,0061K00000lT83q,100.0
WI,29506,"0061K00000lT5lQ, 0061K00000iq8LG",0.0
OR,21801,"0061K00000lT0UU, 0061K00000ioytq",0.0
IN,51537,0061K00000lSyU9,0.0
NE,40223,0061K00000lSTwZ,0.0
MI,30720,0061K00000lSTui,0.0
TX,8053,"0061K00000lSpcr, 0061K00000kqaAJ",0.0
IL,98004,0061K00000lSpcq,0.0
IL,43402,0061K00000lSpb9,0.0
PA,54956,0061K00000lSoYw,0.0
TN,97467,0061K00000lSNIt,0.0
TX,46703,0061K00000lSelV,0.0
OH,68198,0061K00000lSekN,0.0
MA,49503,0061K00000lSekh,0.0
FL,76104,0061K00000lSejF,0.0
TX,61602,0061K00000lScir,0.0
CO,61801,0061K00000lScce,0.0
SC,19020,0061K00000lSauT,100.0
CA,38401,0061K00000lS1S0,0.0
TN,45219,0061K00000lRyE9,0.0
FL,2138,0061K00000lRyC4,0.0
CA,32714,0061K00000lRY1U,0.0
WA,77030,0061K00000lRXzn,0.0
NJ,80112,0061K00000lRWHg,0.0
LA,29646,0061K00000lRW2L,100.0
UT,91010,0061K00000lRVJl,0.0
FL,30912,"0061K00000lRSQ2, 0061K00000h6jwx",0.0
WA,37403,"0061K00000lRSQ1, 0061K00000gUdpW",0.0
MA,32256,0061K00000lRSOj,0.0
TX,92354,0061K00000lRRz0,0.0
NY,98405,"0061K00000lRRhB, 0061K00000k1QOR",0.0
AR,7960,0061K00000lRRcz,0.0
CO,70806,0061K00000lRQxb,0.0
NJ,84132,0061K00000lRnT0,0.0
