state,zipcode,hash_codes,closed_won_percentage
CA,91405,0061K00000ks6KG,0.0
IN,45404,0061K00000ks4PF,0.0
CO,70634,0061K00000ks2qa,0.0
NY,81505,0061K00000ks1xJ,0.0
MA,90027,0061K00000krZvn,0.0
SD,46131,0061K00000krTI9,0.0
PA,11201,0061K00000krqFn,0.0
MD,2740,0061K00000krO84,0.0
MD,19406,"0061K00000krcQr, 0061K00000kpzEN",0.0
FL,21044,0061K00000krbqx,0.0
DE,7103,0061K00000kqP3K,0.0
GA,21215,0061K00000kqkDj,0.0
NY,33136,0061K00000kqIEW,0.0
NJ,19901,0061K00000kqCMa,0.0
NE,30342,0061K00000kqck4,0.0
SD,10461,0061K00000kqCG8,0.0
PA,68502,0061K00000kq99K,0.0
PA,57108,"0061K00000kpzEN, 0061K00000kYCI0, 0061K00000k3y63",0.0
IL,78411,0061K00000kpwRW,0.0
PA,17602,0061K00000kpsXQ,0.0
NJ,19104,0061K00000kpsdT,0.0
MN,60611,0061K00000kpO05,0.0
MI,17403,0061K00000kpgFC,0.0
VA,48602,0061K00000kOxor,0.0
AL,22601,0061K00000kou4n,0.0
FL,60606,0061K00000kOrRT,0.0
CA,17033,0061K00000k3sPi,0.0
TX,92324,0061K00000k3Hq2,0.0
IL,7030,0061K00000k3E47,0.0
KY,3598,0061K00000k3buE,0.0
FL,75201,0061K00000k35D2,0.0
GA,61602,0061K00000k2Y9T,0.0
NY,40505,0061K00000k2UcZ,0.0
WA,33759,0061K00000k2oTq,0.0
AZ,31602,0061K00000k2IK4,0.0
CA,12866,0061K00000k1XAe,0.0
OH,85016,0061K00000k1EDy,0.0
IL,90027,0061K00000k1d3r,0.0
NY,14617,0061K00000k1ctr,0.0
ME,44310,0061K00000k1CB5,0.0
OH,60515,0061K00000k0tDa,0.0
MO,11570,0061K00000k0SV9,0.0
IL,4412,0061K00000k0IhT,0.0
TX,44106,0061K00000k0BLF,0.0
NY,63141,0061K00000k04Vs,0.0
AR,61602,0061K00000jWa9Q,0.0
CO,78229,0061K00000jW1vf,0.0
NJ,10456,0061K00000jVZNI,0.0
WA,72202,0061K00000jVwnv,0.0
NJ,80021,0061K00000jVwgu,0.0
CA,8822,0061K00000jUoHF,0.0
MI,43202,0061K00000jUhha,0.0
KS,98683,0061K00000jU76x,0.0
TN,94143,0061K00000jTF5J,0.0
CA,48912,0061K00000jTEIe,0.0
GA,66160,0061K00000jTAze,0.0
TN,38104,0061K00000jT920,0.0
CA,93306,0061K00000ipJJr,0.0
MN,37067,0061K00000ipDQS,0.0
MO,91761,0061K00000ioytq,0.0
MA,91786,0061K00000imXXX,0.0
NE,65802,0061K00000hxrQv,0.0
NH,2115,0061K00000hxpAG,0.0
PA,15213,0061K00000hxcGf,100.0
SC,68845,0061K00000hwYz2,0.0
MD,3102,0061K00000hwfqe,0.0
NY,19087,0061K00000hvMZ1,0.0
WI,29646,0061K00000huJjk,0.0
OH,21801,0061K00000hu2hc,0.0
GA,54449,0061K00000h9X0P,0.0
GA,45750,0061K00000h9QBQ,0.0
NY,94598,0061K00000h9Bgm,0.0
PA,31701,0061K00000h7yuN,0.0
SC,10065,0061K00000h7yuK,0.0
AR,29601,0061K00000h6v8G,0.0
MO,94602,0061K00000h6jwx,0.0
TN,33901,0061K00000gVdp7,0.0
NC,72601,0061K00000gUDXP,0.0
MI,64506,0061K00000gUdpW,0.0
AZ,38105,0061K00000gUd3I,0.0
FL,28602,0061K00000fvP5f,100.0
MA,48202,0061K00000ftCbz,0.0
NE,85712,0061K00000eHxr4,0.0
TX,33309,0061K00000eHsXS,0.0
TX,1201,0061K00000eHQSr,100.0
MI,68198,0061K00000eGAMf,0.0
MS,76011,0061K00000eG5ZK,0.0
IL,75038,0061K00000ebRZB,0.0
KY,48503,0061K00000ciilE,0.0
MN,38801,0061K00000c4njV,0.0
NY,60555,0061K00000c3D1V,0.0
HI,40223,0061K00000lQJFA,0.0
WY,55415,0061K00000lQHhA,0.0
HI,14642,0061K00000lQHgz,0.0
TX,82716,0061K00000lQGrs,0.0
KY,96816,0061K00000lQGr1,0.0
SC,92227,0061K00000lQGqh,0.0
TN,76104,0061K00000lQGpZ,0.0
TN,41017,0061K00000lQGpt,0.0
FL,29303,0061K00000lQGpA,0.0
IL,37232,0061K00000lQEXP,0.0
IL,37920,0061K00000lQEWv,0.0
CT,34239,0061K00000lQEgL,0.0
NY,60901,0061K00000lQE9R,0.0
VT,60621,0061K00000lQDjm,0.0
ID,6106,0061K00000lQ8eP,0.0
MS,12208,0061K00000l5Gwu,0.0
NY,5701,0061K00000kZQ6u,0.0
TX,83467,0061K00000kZCTo,0.0
AK,39216,0061K00000kZ6UU,0.0
MO,10017,0061K00000kZ3Fq,0.0
SD,77030,0061K00000kYSNP,0.0
MO,99669,0061K00000kYn1C,0.0
TX,65201,0061K00000kYFZF,0.0
AZ,65301,0061K00000kXZoD,100.0
WA,79601,0061K00000kXvjS,0.0
TX,15801,0061K00000kXewe,0.0
NC,86409,0061K00000kwvSE,0.0
AZ,98034,0061K00000kwre4,0.0
PA,75203,0061K00000ksUL4,0.0
NH,27610,0061K00000ksMo0,0.0
NY,85008,0061K00000ksMnz,0.0
IL,17822,0061K00000ksM2t,0.0
MI,3833,0061K00000ksLv2,0.0
MN,10004,0061K00000ksL3T,0.0
IL,62781,0061K00000ksGKu,0.0
ID,49007,0061K00000ks6KG,0.0
CT,55407,0061K00000ks60C,0.0
OH,83712,0061K00000ks2qa,0.0
CA,6106,0061K00000ks1yM,0.0
OH,84111,0061K00000ks1xJ,0.0
OR,45237,0061K00000krZvn,0.0
LA,91405,0061K00000krTI9,0.0
AL,97330,0061K00000krqFn,0.0
CA,70634,0061K00000krO84,0.0
IN,81505,0061K00000kreSu,0.0
IN,36607,0061K00000krcQr,100.0
CO,90027,0061K00000krbqx,0.0
NY,46952,0061K00000kqPQz,0.0
MA,46131,0061K00000kqP3K,0.0
AR,11201,0061K00000kqOxg,0.0
OK,2740,0061K00000kqkDj,100.0
SD,71603,0061K00000kqIEW,0.0
CO,73112,0061K00000kqD7s,0.0
MT,57105,0061K00000kqCMa,0.0
TX,81101,0061K00000kqck4,0.0
NY,59715,0061K00000kqCG8,0.0
PA,75235,0061K00000kqaAJ,0.0
FL,14301,0061K00000kq99K,0.0
FL,33487,0061K00000kpwRW,0.0
NJ,21044,0061K00000kpsXQ,100.0
MD,32806,0061K00000kpsdT,0.0
FL,7103,0061K00000kproa,0.0
DE,21215,0061K00000kpQ0R,0.0
GA,33136,0061K00000kpPlm,0.0
NY,19901,0061K00000kpO05,0.0
KY,30342,0061K00000kpNvo,0.0
RI,10461,0061K00000kpgFC,0.0
NJ,40536,0061K00000kpgAq,0.0
CA,2905,0061K00000kpEqk,0.0
WA,8837,0061K00000kP16b,0.0
NJ,93906,0061K00000kOxor,0.0
NE,98362,0061K00000kOxjL,0.0
SD,68502,0061K00000kou4n,0.0
TX,38120,0061K00000kOrRT,0.0
PA,78411,0061K00000k3y4g,0.0
NC,17602,0061K00000k3sPi,0.0
KY,19104,0061K00000k3Pzt,0.0
IL,28054,0061K00000k3kdI,0.0
PA,40202,0061K00000k3Hq2,0.0
AL,60611,0061K00000k3E47,0.0
MN,17403,0061K00000k3buE,0.0
GA,35242,0061K00000k35D2,0.0
MI,55805,0061K00000k35ak,0.0
NY,30329,0061K00000k2Y9T,0.0
MN,48602,0061K00000k2UcZ,0.0
FL,55404,0061K00000k2IK4,0.0
NY,75254,0061K00000k2fs6,0.0
TN,33606,0061K00000k1XAe,0.0
NE,11219,0061K00000k1QOR,0.0
IL,68701,0061K00000k1LHa,0.0
PA,22601,0061K00000k1EDy,0.0
AL,60606,0061K00000k1d3r,0.0
FL,17033,0061K00000k1ctr,0.0
VA,35801,0061K00000k1CB5,0.0
SC,32610,0061K00000k0tDa,0.0
MA,29169,0061K00000k0siL,0.0
HI,22903,0061K00000k0IhT,0.0
CA,1803,0061K00000k0BLF,0.0
NJ,96720,0061K00000k04Vs,0.0
MA,92324,0061K00000jzzCA,0.0
MA,7030,0061K00000jWa9Q,0.0
NH,2215,0061K00000jW4aS,0.0
TX,2215,0061K00000jW1vf,0.0
MS,75201,0061K00000jVwnv,0.0
KY,61602,0061K00000jVwgu,0.0
FL,40505,0061K00000jVQGi,0.0
FL,28401,0061K00000jVksz,0.0
PA,33759,0061K00000jVkQJ,0.0
MO,32207,0061K00000jVAqt,0.0
NC,15213,0061K00000jV9BO,0.0
CA,63141,0061K00000jV7DQ,0.0
GA,28203,0061K00000jV3Ou,0.0
GA,90048,0061K00000jUvmD,0.0
NY,30117,0061K00000jUoHF,0.0
WA,31602,0061K00000jUjM6,0.0
KY,12866,0061K00000jUhha,0.0
AZ,98405,0061K00000jU76x,0.0
NC,85016,0061K00000jTEIe,0.0
OH,93105,0061K00000jTAze,0.0
KY,27710,0061K00000jT920,0.0
SC,44195,0061K00000jT2kD,0.0
CA,40202,0061K00000iqIVh,0.0
NY,29601,0061K00000iqFKu,0.0
OH,90027,0061K00000iq9K9,0.0
GA,14617,0061K00000iq8LG,0.0
GA,44310,0061K00000ipuut,0.0
TX,30309,0061K00000ipJJr,0.0
AL,30322,0061K00000ipj4i,0.0
IL,75246,0061K00000ipj4h,0.0
NY,35233,0061K00000ipDQS,0.0
WA,60515,0061K00000ioytq,0.0
ME,11570,0061K00000iouQG,0.0
VA,98057,0061K00000imXXX,0.0
LA,4412,0061K00000imc4t,0.0
OH,23502,0061K00000imbYE,0.0
MO,70163,0061K00000hy6PF,0.0
IL,44106,0061K00000hxrQv,0.0
